pretrain_step,rl_step,n_rollouts,resp_len_mean,resp_len_median,resp_len_p95,resp_len_max,trunc_rate
35000,1800,1024,499.1,251,1670,3586,0.0264
35000,1850,1024,539.0,281,2986,3586,0.0312
35000,1900,1024,436.6,205,2621,3586,0.0352
35000,1950,1024,463.2,231,1396,3586,0.0322
35000,2000,1024,493.7,225,3533,3588,0.04
35000,2050,1024,500.1,249,1948,3586,0.0293
35000,2100,1024,522.0,250,3580,3601,0.042
35000,2150,1024,582.8,236,3584,3633,0.0596
35000,2200,1024,407.7,193,1339,3586,0.0264
35000,2250,1024,466.9,217,3432,3845,0.0449
35000,2300,1024,603.4,260,3584,3620,0.0674
35000,2350,1024,551.3,226,3584,3587,0.0596
35000,2400,1024,606.5,246,3584,3609,0.0586
35000,2450,1024,593.0,232,3584,3589,0.0635
35000,2500,1024,738.7,293,3584,3618,0.0947
35000,2550,1024,648.7,235,3584,3586,0.0537
35000,2600,1024,666.3,251,3584,3742,0.0684
35000,2650,1024,607.1,216,3584,3633,0.0684
35000,2700,1024,675.7,223,3584,3623,0.0713
35000,2750,1024,646.5,239,3584,3663,0.0615
35000,2800,1024,732.6,258,3584,3615,0.0938
35000,2850,1024,761.9,277,3584,3650,0.0986
35000,2900,1024,790.6,234,3584,3612,0.1143
35000,2950,1024,651.1,202,3584,3703,0.0771
35000,3000,1024,796.3,236,3584,3590,0.1025
35000,3050,1024,685.7,215,3584,3586,0.0859
35000,3100,1024,741.9,223,3584,3589,0.0957
35000,3150,1024,702.9,209,3584,3616,0.082
35000,3200,1024,665.3,196,3584,3590,0.0723
35000,3250,1024,722.6,212,3583,3703,0.042
35000,3300,1024,674.2,211,3584,3608,0.0752
35000,3350,1024,731.9,242,3584,3842,0.0879
35000,3400,1024,708.8,207,3584,3669,0.0859
35000,3450,1024,651.9,190,3583,3586,0.0449
35000,3500,1024,746.8,197,3584,3678,0.0605
35000,3550,1024,871.6,255,3583,3616,0.0449
35000,3600,1024,862.2,268,3584,3694,0.0576
35000,3650,1024,773.3,199,3583,3586,0.0488
35000,3700,1024,690.8,220,3580,3585,0.0293
35000,3750,1024,862.0,215,3584,3726,0.0566
40000,50,1024,532.4,460,966,3726,0.0059
40000,100,1024,467.3,422,887,3994,0.0039
40000,150,1024,441.1,385,857,3657,0.002
40000,200,1024,415.0,368,780,3678,0.0029
40000,250,1024,380.0,350,714,3584,0.001
40000,300,1024,332.0,292,680,1529,0.0
40000,350,1024,324.3,256,656,3589,0.001
40000,400,1024,320.6,270,679,1582,0.0
40000,450,1024,308.7,243,649,3587,0.001
40000,500,1024,302.4,234,657,3566,0.0
40000,550,1024,282.8,226,632,3584,0.001
40000,600,1024,329.0,275,708,1452,0.0
40000,650,1024,313.6,223,737,3584,0.001
40000,700,1024,322.9,252,712,3595,0.001
40000,750,1024,321.7,266,675,3587,0.001
40000,800,1024,263.9,198,631,2078,0.0
40000,850,1024,297.9,223,661,3692,0.002
40000,900,1024,298.7,241,657,2596,0.0
40000,950,1024,281.4,210,662,3586,0.002
40000,1000,1024,272.2,200,611,3584,0.001
40000,1050,1024,292.2,235,633,3157,0.0
40000,1100,1024,322.9,256,696,3245,0.0
40000,1150,1024,356.0,262,770,3627,0.0049
40000,1200,1024,311.8,234,680,3584,0.002
40000,1250,1024,319.8,217,745,3582,0.0
40000,1300,1024,300.1,220,690,3584,0.0029
40000,1350,1024,305.0,226,712,3582,0.0
40000,1400,1024,345.2,246,875,3593,0.0029
40000,1450,1024,359.3,252,883,3586,0.0029
40000,1500,1024,346.3,219,805,3717,0.0078
40000,1550,1024,364.5,261,788,3600,0.0049
40000,1600,1024,364.9,258,783,3585,0.0068
40000,1650,1024,339.4,223,801,3588,0.0059
40000,1700,1024,386.9,239,959,3781,0.0068
